"","stock.id","species","stock.name","lat","lon","ocean.basin","state","begin","end","n.years","max.spawners","max.recruits","source","url","comments"
"95",94,"Pink","Area 9-Pink","51.46556","127.7422","WC","BC",1980,2008,29,2097975,2097975,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,""
"96",95,"Pink","Area 8-Pink","51.62194","127.8289","WC","BC",1980,2008,29,6223585,12795649,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,""
"97",96,"Pink","Area 7-Pink","52.12916","128.380149","WC","BC",1980,2008,29,820377,1430120,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,""
"98",97,"Pink","Area 6-Pink","53.08889","129.1992","WC","BC",1980,2008,29,3041512,10388250,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,""
"99",98,"Pink","Area 5-Pink","53.66302","130.423874","WC","BC",1982,2008,27,786316,1047999,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,""
"100",99,"Pink","Area 4-Pink","54.247243","130.477433","WC","BC",1982,2008,27,7962665,28393718,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,""
"101",100,"Pink","Area 3-Pink","54.676678","130.502152","WC","BC",1982,2008,27,1853308,3513689,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,""
"102",101,"Pink","Area 2W-Pink","52.988408","132.411026","WC","BC",1980,2008,15,492497,996731,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,""
"103",102,"Pink","Area 2E-Pink","53.0175","131.5778","WC","BC",1980,2008,28,1365470,1718543,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,""
"104",103,"Pink","Area 1-Pink","54.071771","132.204764","WC","BC",1980,2008,15,4437660,4947640,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC",NA,""
"105",104,"Pink","S SEAK-Pink","55.71556","131.8714","WC","AK",1960,2008,49,29750273,83426596,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK; Piston, A. W. and S. C. Heinl. 2011. Pink salmon stock status and escapement goals in Southeast Alaska. Alaska Department of Fish and Game, Special Publication No. 11-18",NA,"Districts 101-108"
