"","species","stock","log_a_med","log_a_LCI","log_a_UCI","gamma_med","gamma_LCI","gamma_UCI","w_med","w_LCI","w_UCI","min_ESS","min_Rhat"
"25%...78","Sockeye","Naknek-Sockeye",1.50841821643387,1.33064649364597,1.69272815119644,0.5,0.423429396653725,0.576570603346275,-0.00639514509623608,-0.633556293067626,0.659902380009739,1.0056820586763,Inf
"25%...79","Sockeye","Egegik-Sockeye",1.82427967556483,1.52095004261758,2.14955574473098,0.5,0.360094822737957,0.639905177262043,0.00610774088446402,-0.608586339737272,0.620658401325219,1.0074508232205,Inf
"25%...80","Sockeye","Ugashik-Sockeye",1.38448810042038,0.878550577343265,1.84991682662071,0.5,0.3129743401122,0.6870256598878,0.0112064551405282,-0.556228259872183,0.605160397971771,1.0089825064201,Inf
"25%...81","Chum","Willapa Bay-Chum",1.04536093166242,0.746885221767952,1.36098096005968,0.5,0.396480134085789,0.603519865914211,-0.0436784324939958,-0.595620621173478,0.538760331428159,1.00766819101095,Inf
"25%...82","Chum","Grays Harbour-Chum",1.21899969858166,0.928354380038547,1.49432243096107,0.5,0.407052887956772,0.592947112043228,0.0262262662826758,-0.540895029378218,0.598666434015029,1.00539164933547,Inf
"25%...83","Chum","S Sound Summer-Chum",1.160066006911,0.61598336898787,1.68180451647992,0.5,0.206071647297104,0.793928352702896,-0.0578715857735688,-0.641158604777182,0.569610287270041,1.01452040286965,Inf
"25%...84","Chum","S Sound Fall-Chum",1.51429257503407,1.26076298701664,1.77606850209473,0.5,0.352510187715838,0.647489812284163,0.0308299422605942,-0.573137566132041,0.608319116725096,1.01002605385574,Inf
"25%...85","Chum","S Sound Winter-Chum",0.757621528375853,0.488804551602293,1.05404430537089,0.5,0.409891116716706,0.590108883283294,-0.013804646451639,-0.624589000385166,0.615221273516851,1.00432835711177,Inf
"25%...86","Chum","Hood Canal-Chum",1.94065362899601,1.5565928724542,2.36102844979091,0.5,0.321351873606861,0.678648126393139,0.0181818574885054,-0.556736873251984,0.594460989800091,1.00712611887445,Inf
"25%...87","Chum","Port Susan-Chum",0.681472946683703,0.346976884306808,1.02761973184954,0.5,0.380977336607099,0.619022663392901,-0.0118247245965252,-0.753634422669415,0.788034984085667,1.01252654761094,Inf
"25%...88","Chum","Skagit-Chum",0.483566570071751,0.147235630127625,0.830278029735017,0.5,0.370890841846822,0.629109158153178,-0.0250122564572814,-0.599892196685476,0.582662162111061,1.01344452351754,Inf
"25%...89","Chum","Bellingham-Chum",1.47526780922997,1.23489622962781,1.71301250331879,0.5,0.386885976255406,0.613114023744594,-0.00550043142909734,-0.625253435568475,0.668601466053798,1.00654885490654,Inf
"25%...90","Chum","Strait of Juan de Fuca-Chum",0.696098579180304,0.306148257487245,1.02318249223534,0.5,0.410437915031562,0.589562084968438,-0.0436004537796333,-0.687882497351706,0.66276247023257,1.00811731938766,Inf
"25%...91","Chum","Fraser-Chum",0.989902611473173,0.758119117647552,1.18678208881387,0.5,0.363904244254596,0.636095755745404,0.0187231990071578,-0.641566804935435,0.645280654995945,1.00369211254605,Inf
"25%...92","Chum","BC South (no Fraser)-Chum",0.998896818316038,0.623484681500515,1.29214301859511,0.5,0.255896572780653,0.744103427219347,-0.0301659350533994,-0.679414210909645,0.590968340504914,1.01328492470669,Inf
"25%...93","Chum","Area 10-Chum",0.732757748579152,0.198068674109017,1.18897298504234,0.5,0.35246894169688,0.64753105830312,0.00118827957175216,-0.641796396788085,0.624551528892705,1.00781072449526,Inf
"25%...94","Chum","Area 9-Chum",0.748635316984041,-0.0870268203594177,1.21143448635276,0.5,0.27046666857682,0.72953333142318,0.0385757795104419,-0.646356296248817,0.648145219035959,1.01003556310868,Inf
"25%...95","Chum","Area 8-Chum",1.6376379686069,1.28914367194432,1.99301790425824,0.5,0.383529327885881,0.616470672114119,0.0214304604215355,-0.641945418260915,0.64174855743702,1.00789103640103,Inf
"25%...96","Chum","Area 7-Chum",1.80213612728364,1.54114762857148,2.05710169222337,0.5,0.384364911803825,0.615635088196175,-0.0143405426476626,-0.661442589738796,0.638393528850212,1.01025983273334,Inf
"25%...97","Chum","Area 6-Chum",0.829923308213443,0.376508675594298,1.26919620251461,0.5,0.349219865711254,0.650780134288746,-0.0149573658006658,-0.647146815203901,0.592189944394088,1.00808129260613,Inf
"25%...98","Chum","Area 5-Chum",1.45235057856899,1.11903740269646,2.02527355938832,0.5,0.237749833470723,0.762250166529277,0.0251149445072779,-0.597205096947677,0.641989703188127,1.00669608818322,Inf
"25%...99","Chum","Area 4-Chum",0.608447625742376,0.0755552718531269,1.08567727169197,0.5,0.308175079187456,0.691824920812544,0.0323892542563239,-0.58960489516352,0.632479746162857,1.00595387671592,Inf
"25%...100","Chum","Area 3-Chum",1.42195476752242,1.13918747025246,1.69121976339709,0.5,0.417087610108097,0.582912389891903,-0.0079170569713054,-0.651099751711247,0.676107005049223,1.02254659519541,Inf
"25%...101","Chum","Area 2W-Chum",1.27197736711655,1.0089341695744,1.54279535258759,0.5,0.198517502663607,0.801482497336393,-0.00202478157580143,-0.585458832594484,0.574568640827928,1.02075679203324,Inf
"25%...102","Chum","Area 2E-Chum",0.617280134772633,0.340134648508649,0.946235026098733,0.5,0.383574180056691,0.616425819943309,0.0418879293423299,-0.697294737426749,0.757852355749118,1.00572913676762,Inf
"25%...103","Chum","Area 1-Chum",1.05322644583007,0.436782637862704,1.65797694889953,0.5,0.328597684836469,0.671402315163531,0.0103604267625033,-0.637834954744926,0.621254089912459,1.00666221153511,Inf
"25%...104","Chum","Kadashan-Chum",1.60791670532262,1.0723472658127,2.13556592002344,0.5,0.273809000415699,0.726190999584301,0.0264237007259589,-0.634417470656154,0.631216083807344,1.00373260454323,Inf
"25%...105","Chum","Chilkat-Chum",1.5510883142464,1.17634005808866,1.81654655314857,0.5,0.177020961950595,0.822979038049405,0.000230845387326531,-0.818955764514544,0.785552244232066,1.01593396381892,Inf
"25%...106","Chum","East Alsek-Chum",1.65073117975342,1.30414512338202,1.9940457170792,0.5,0.348111398930033,0.651888601069967,0.0310464393617578,-0.682839930634659,0.707754360919358,1.00590649956731,Inf
"25%...107","Chum","PWS-Chum",2.46548203744197,1.98444851211717,2.79030097508455,0.5,0.289310614313533,0.710689385686467,-0.0109804548089247,-0.560677524737865,0.564643406639109,1.01108990358005,Inf
